,Country,Sex,Year,Obesity (%),Region,BMI
1115,Australia,Female,2010,25.4 [21.7-29.5],Oceania,25.4
1116,Australia,Both sexes,2011,26.2 [23.4-29.2],Oceania,26.2
1117,Australia,Male,2011,26.4 [22.4-30.7],Oceania,26.4
1118,Australia,Female,2011,25.9 [22.0-30.1],Oceania,25.9
1119,Australia,Both sexes,2012,26.7 [23.8-29.9],Oceania,26.7
1120,Australia,Male,2012,27.0 [22.8-31.6],Oceania,27.0
1121,Australia,Female,2012,26.4 [22.3-30.7],Oceania,26.4
1122,Australia,Both sexes,2013,27.3 [24.2-30.6],Oceania,27.3
1123,Australia,Male,2013,27.7 [23.2-32.5],Oceania,27.7
1124,Australia,Female,2013,26.9 [22.5-31.5],Oceania,26.9
1125,Australia,Both sexes,2014,27.9 [24.6-31.4],Oceania,27.9
1126,Australia,Male,2014,28.3 [23.6-33.4],Oceania,28.3
1127,Australia,Female,2014,27.4 [22.8-32.2],Oceania,27.4
1128,Australia,Both sexes,2015,28.4 [24.9-32.1],Oceania,28.4
1129,Australia,Male,2015,28.9 [23.9-34.3],Oceania,28.9
1130,Australia,Female,2015,27.9 [23.0-33.1],Oceania,27.9
1131,Australia,Both sexes,2016,29.0 [25.3-32.9],Oceania,29.0
1132,Australia,Male,2016,29.6 [24.2-35.3],Oceania,29.6
1133,Australia,Female,2016,28.4 [23.1-33.9],Oceania,28.4
4914,Cook Islands,Both sexes,1975,28.0 [21.3-35.5],Oceania,28.0
4915,Cook Islands,Male,1975,21.6 [12.7-32.0],Oceania,21.6
4916,Cook Islands,Female,1975,34.5 [24.5-45.3],Oceania,34.5
4917,Cook Islands,Both sexes,1976,28.6 [22.0-35.9],Oceania,28.6
4918,Cook Islands,Male,1976,22.2 [13.4-32.2],Oceania,22.2
4919,Cook Islands,Female,1976,35.1 [25.3-45.7],Oceania,35.1
4920,Cook Islands,Both sexes,1977,29.2 [22.6-36.2],Oceania,29.2
4921,Cook Islands,Male,1977,22.7 [14.1-32.4],Oceania,22.7
4922,Cook Islands,Female,1977,35.7 [26.0-46.0],Oceania,35.7
4923,Cook Islands,Both sexes,1978,29.7 [23.3-36.6],Oceania,29.7
4924,Cook Islands,Male,1978,23.3 [14.7-32.8],Oceania,23.3
4925,Cook Islands,Female,1978,36.3 [26.8-46.3],Oceania,36.3
4926,Cook Islands,Both sexes,1979,30.3 [23.9-37.0],Oceania,30.3
4927,Cook Islands,Male,1979,23.8 [15.4-33.3],Oceania,23.8
4928,Cook Islands,Female,1979,36.9 [27.6-46.6],Oceania,36.9
4929,Cook Islands,Both sexes,1980,30.8 [24.5-37.5],Oceania,30.8
4930,Cook Islands,Male,1980,24.4 [16.1-33.8],Oceania,24.4
4931,Cook Islands,Female,1980,37.4 [28.3-46.9],Oceania,37.4
4932,Cook Islands,Both sexes,1981,31.4 [25.2-38.0],Oceania,31.4
4933,Cook Islands,Male,1981,25.0 [16.7-34.1],Oceania,25.0
4934,Cook Islands,Female,1981,38.0 [29.0-47.3],Oceania,38.0
4935,Cook Islands,Both sexes,1982,32.0 [25.9-38.5],Oceania,32.0
4936,Cook Islands,Male,1982,25.6 [17.4-34.6],Oceania,25.6
4937,Cook Islands,Female,1982,38.6 [29.8-47.6],Oceania,38.6
4938,Cook Islands,Both sexes,1983,32.6 [26.5-39.0],Oceania,32.6
4939,Cook Islands,Male,1983,26.2 [18.1-35.2],Oceania,26.2
4940,Cook Islands,Female,1983,39.2 [30.5-48.2],Oceania,39.2
4941,Cook Islands,Both sexes,1984,33.3 [27.2-39.5],Oceania,33.3
4942,Cook Islands,Male,1984,26.9 [18.8-35.7],Oceania,26.9
4943,Cook Islands,Female,1984,39.8 [31.2-48.7],Oceania,39.8
4944,Cook Islands,Both sexes,1985,33.9 [28.0-40.1],Oceania,33.9
4945,Cook Islands,Male,1985,27.6 [19.5-36.3],Oceania,27.6
4946,Cook Islands,Female,1985,40.5 [31.9-49.2],Oceania,40.5
4947,Cook Islands,Both sexes,1986,34.6 [28.7-40.8],Oceania,34.6
4948,Cook Islands,Male,1986,28.3 [20.2-36.9],Oceania,28.3
4949,Cook Islands,Female,1986,41.1 [32.6-49.7],Oceania,41.1
4950,Cook Islands,Both sexes,1987,35.3 [29.5-41.4],Oceania,35.3
4951,Cook Islands,Male,1987,29.0 [20.9-37.6],Oceania,29.0
4952,Cook Islands,Female,1987,41.8 [33.3-50.1],Oceania,41.8
4953,Cook Islands,Both sexes,1988,36.1 [30.3-42.0],Oceania,36.1
4954,Cook Islands,Male,1988,29.8 [21.7-38.3],Oceania,29.8
4955,Cook Islands,Female,1988,42.5 [34.0-50.8],Oceania,42.5
4956,Cook Islands,Both sexes,1989,36.8 [31.1-42.7],Oceania,36.8
4957,Cook Islands,Male,1989,30.6 [22.5-39.1],Oceania,30.6
4958,Cook Islands,Female,1989,43.2 [34.6-51.4],Oceania,43.2
4959,Cook Islands,Both sexes,1990,37.5 [31.9-43.4],Oceania,37.5
4960,Cook Islands,Male,1990,31.3 [23.3-39.9],Oceania,31.3
4961,Cook Islands,Female,1990,43.8 [35.3-52.0],Oceania,43.8
4962,Cook Islands,Both sexes,1991,38.3 [32.6-44.1],Oceania,38.3
4963,Cook Islands,Male,1991,32.1 [24.1-40.6],Oceania,32.1
4964,Cook Islands,Female,1991,44.5 [36.2-52.6],Oceania,44.5
4965,Cook Islands,Both sexes,1992,39.0 [33.3-44.8],Oceania,39.0
4966,Cook Islands,Male,1992,32.9 [24.9-41.4],Oceania,32.9
4967,Cook Islands,Female,1992,45.2 [36.8-53.2],Oceania,45.2
4968,Cook Islands,Both sexes,1993,39.7 [34.0-45.5],Oceania,39.7
4969,Cook Islands,Male,1993,33.7 [25.7-42.1],Oceania,33.7
4970,Cook Islands,Female,1993,45.8 [37.5-53.7],Oceania,45.8
4971,Cook Islands,Both sexes,1994,40.4 [34.7-46.2],Oceania,40.4
4972,Cook Islands,Male,1994,34.4 [26.4-42.8],Oceania,34.4
4973,Cook Islands,Female,1994,46.4 [38.2-54.2],Oceania,46.4
4974,Cook Islands,Both sexes,1995,41.0 [35.4-46.8],Oceania,41.0
4975,Cook Islands,Male,1995,35.2 [27.1-43.6],Oceania,35.2
4976,Cook Islands,Female,1995,47.0 [38.9-54.7],Oceania,47.0
4977,Cook Islands,Both sexes,1996,41.8 [36.1-47.5],Oceania,41.8
4978,Cook Islands,Male,1996,36.0 [27.9-44.3],Oceania,36.0
4979,Cook Islands,Female,1996,47.6 [39.6-55.2],Oceania,47.6
4980,Cook Islands,Both sexes,1997,42.5 [36.9-48.2],Oceania,42.5
4981,Cook Islands,Male,1997,36.8 [28.8-45.1],Oceania,36.8
4982,Cook Islands,Female,1997,48.3 [40.4-55.8],Oceania,48.3
4983,Cook Islands,Both sexes,1998,43.3 [37.7-49.0],Oceania,43.3
4984,Cook Islands,Male,1998,37.7 [29.7-45.9],Oceania,37.7
4985,Cook Islands,Female,1998,49.0 [41.2-56.5],Oceania,49.0
4986,Cook Islands,Both sexes,1999,44.1 [38.5-49.8],Oceania,44.1
4987,Cook Islands,Male,1999,38.6 [30.7-46.8],Oceania,38.6
4988,Cook Islands,Female,1999,49.7 [42.1-57.1],Oceania,49.7
4989,Cook Islands,Both sexes,2000,44.9 [39.5-50.6],Oceania,44.9
4990,Cook Islands,Male,2000,39.6 [31.7-47.6],Oceania,39.6
4991,Cook Islands,Female,2000,50.4 [43.0-57.8],Oceania,50.4
4992,Cook Islands,Both sexes,2001,45.8 [40.4-51.4],Oceania,45.8
4993,Cook Islands,Male,2001,40.6 [32.7-48.5],Oceania,40.6
4994,Cook Islands,Female,2001,51.1 [43.7-58.4],Oceania,51.1
4995,Cook Islands,Both sexes,2002,46.6 [41.3-52.2],Oceania,46.6
4996,Cook Islands,Male,2002,41.5 [33.7-49.3],Oceania,41.5
4997,Cook Islands,Female,2002,51.9 [44.6-59.1],Oceania,51.9
4998,Cook Islands,Both sexes,2003,47.5 [42.2-52.9],Oceania,47.5
4999,Cook Islands,Male,2003,42.5 [34.8-50.2],Oceania,42.5
5000,Cook Islands,Female,2003,52.6 [45.3-59.7],Oceania,52.6
5001,Cook Islands,Both sexes,2004,48.3 [43.1-53.7],Oceania,48.3
5002,Cook Islands,Male,2004,43.5 [35.8-51.1],Oceania,43.5
5003,Cook Islands,Female,2004,53.3 [46.1-60.2],Oceania,53.3
5004,Cook Islands,Both sexes,2005,49.1 [44.0-54.4],Oceania,49.1
5005,Cook Islands,Male,2005,44.4 [36.9-52.0],Oceania,44.4
5006,Cook Islands,Female,2005,53.9 [46.8-60.8],Oceania,53.9
5007,Cook Islands,Both sexes,2006,49.9 [44.8-55.1],Oceania,49.9
5008,Cook Islands,Male,2006,45.3 [37.8-52.8],Oceania,45.3
5009,Cook Islands,Female,2006,54.6 [47.4-61.4],Oceania,54.6
5010,Cook Islands,Both sexes,2007,50.6 [45.6-55.9],Oceania,50.6
5011,Cook Islands,Male,2007,46.2 [38.8-53.5],Oceania,46.2
5012,Cook Islands,Female,2007,55.1 [48.1-62.1],Oceania,55.1
5013,Cook Islands,Both sexes,2008,51.3 [46.3-56.6],Oceania,51.3
5014,Cook Islands,Male,2008,47.0 [39.6-54.3],Oceania,47.0
5015,Cook Islands,Female,2008,55.7 [48.6-62.6],Oceania,55.7
5016,Cook Islands,Both sexes,2009,52.0 [47.0-57.2],Oceania,52.0
5017,Cook Islands,Male,2009,47.8 [40.4-55.2],Oceania,47.8
5018,Cook Islands,Female,2009,56.2 [49.1-63.1],Oceania,56.2
5019,Cook Islands,Both sexes,2010,52.6 [47.6-57.8],Oceania,52.6
5020,Cook Islands,Male,2010,48.6 [41.2-55.9],Oceania,48.6
5021,Cook Islands,Female,2010,56.7 [49.4-63.6],Oceania,56.7
5022,Cook Islands,Both sexes,2011,53.2 [48.1-58.4],Oceania,53.2
5023,Cook Islands,Male,2011,49.3 [41.8-56.6],Oceania,49.3
5024,Cook Islands,Female,2011,57.2 [49.8-64.2],Oceania,57.2
5025,Cook Islands,Both sexes,2012,53.8 [48.6-59.0],Oceania,53.8
5026,Cook Islands,Male,2012,50.0 [42.4-57.4],Oceania,50.0
5027,Cook Islands,Female,2012,57.6 [50.2-64.7],Oceania,57.6
5028,Cook Islands,Both sexes,2013,54.3 [49.0-59.6],Oceania,54.3
5029,Cook Islands,Male,2013,50.7 [42.9-58.2],Oceania,50.7
